"","fips_code","collection_week","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum"
"192",5043,"2020-11-20",6,0,15,9,0
"193",5043,"2020-11-27",20,0,48,7,0
"194",5045,"2020-11-20",28,0,297,79,0
"195",5045,"2020-11-27",34,0,322,89,0
"196",5045,"2020-12-04",29,0,180,58,0
"197",5049,"2020-11-20",4,0,15,0,0
"198",5049,"2020-11-27",5,0,12,0,0
"199",5051,"2020-11-20",8,0,23,9,0
"200",5051,"2020-11-27",31,0,123,0,0
"201",5051,"2020-12-04",41,0,184,4,0
"202",5055,"2020-11-20",7,0,67,5,0
"203",5055,"2020-11-27",21,0,74,6,0
"204",5055,"2020-12-04",23,0,56,4,0
"205",5057,"2020-11-20",21,0,16,0,0
"206",5057,"2020-11-27",14,0,8,0,0
"207",5059,"2020-11-27",5,0,61,27,0
"208",5059,"2020-12-04",4,0,60,37,0
"209",5061,"2020-11-20",0,0,22,0,0
"210",5063,"2020-11-20",23,0,80,0,0
"211",5063,"2020-11-27",19,0,83,0,0
"212",5063,"2020-12-04",26,0,93,0,0
"213",5065,"2020-11-20",0,0,0,0,0
"214",5065,"2020-12-04",0,0,0,0,0
"215",5071,"2020-11-27",11,0,71,0,0
"216",5071,"2020-12-04",6,0,73,0,0
"217",5075,"2020-11-20",0,0,11,0,0
"218",5081,"2020-11-20",0,0,33,0,0
"219",5081,"2020-11-27",0,0,55,0,0
"220",5081,"2020-12-04",0,0,63,0,0
"221",5083,"2020-11-20",5,0,13,5,0
"222",5103,"2020-11-20",4,0,8,0,0
"223",5103,"2020-11-27",5,0,17,0,0
"224",5103,"2020-12-04",11,0,30,0,0
"225",5107,"2020-11-20",18,0,26,0,0
"226",5107,"2020-12-04",12,0,27,0,0
"227",5115,"2020-11-20",10,0,46,0,0
"228",5115,"2020-11-27",11,0,74,0,0
"229",5119,"2020-11-20",116,0,648,897,0
"230",5119,"2020-11-27",86,0,524,387,0
"231",5119,"2020-12-04",197,8,1184,1066,130
"232",5121,"2020-11-20",49,0,9,4,0
"233",5121,"2020-12-04",26,0,5,8,0
"234",5123,"2020-11-20",0,0,0,0,0
"235",5123,"2020-12-04",0,0,0,0,0
"236",5125,"2020-11-27",13,0,48,4,0
"237",5127,"2020-11-27",0,0,9,0,0
"238",5131,"2020-11-20",50,0,194,57,0
"239",5131,"2020-11-27",27,0,188,53,0
"240",5131,"2020-12-04",43,0,177,40,0
"241",5137,"2020-11-20",0,0,24,0,0
"242",5137,"2020-11-27",0,0,12,0,0
"243",5139,"2020-11-20",4,0,94,0,0
"244",5141,"2020-11-20",0,0,5,0,0
"245",5141,"2020-11-27",0,0,5,0,0
"246",5141,"2020-12-04",0,0,9,0,0
"247",5143,"2020-11-20",47,0,190,0,0
"248",5143,"2020-11-27",61,0,203,0,0
